product_id,purchase_count
100002603,172
100002605,1
100002606,101
100002608,1
100002609,69
100002610,31
100002611,6
100002613,64
100002614,11
100002616,56
100002617,25
100002618,21
100002619,12
100002620,1
100002621,37
100002623,3
100002624,5
100002625,10
100002627,3
100002628,5
100002632,15
100002634,1
100002635,7
100002636,1
100002641,1
100002643,13
100002645,15
100002646,5
100002650,6
100002651,3
100002652,84
100002655,12
100002660,4
100002662,1
100002663,2
100002665,9
100002670,1
100002672,1
100002674,4
100002675,2
100002676,1
100002677,3
100002678,5
100002679,7
100002682,4
100002684,15
100002685,2
100002687,9
100002688,1
100002691,7
100002693,4
100002694,2
100002696,1
100002698,2
100002700,8
100002702,5
100002703,3
100002706,2
100002707,1
100002712,11
100002715,3
100002716,11
100002718,9
100002719,3
100002720,50
100002723,13
100002724,45
100002726,8
100002727,35
100002728,22
100002729,7
100002730,11
100002731,7
100002732,1
100002734,27
100002737,8
100002739,9
100002740,1
100002742,18
100002744,5
100002745,47
100002747,47
100002749,1
100002750,11
100002751,7
100002752,1
100002754,3
100002757,3
100002764,2
100002766,1
100002771,36
100002772,24
100002775,12
100002779,5
100002781,2
100002783,15
100002787,17
100002788,1
100002791,20
100002793,3
100002795,6
100002797,1
100002799,18
100002803,1
100002807,8
100002809,9
100002810,13
100002811,2
100002812,3
100002813,12
100002823,2
100002824,3
100002825,24
100002826,1
100002828,1
100002834,5
100002835,6
100002838,45
100002842,15
100002847,16
100002855,1
100002856,10
100002857,12
100002862,2
100002863,8
100002864,2
100002866,4
100002867,9
100002869,3
100002874,2
100002877,1
100002881,2
100002882,8
100002884,2
100002886,1
100002887,4
100002891,5
100002892,3
100002893,6
100002896,9
100002899,7
100002900,3
100002905,1
100002906,1
100002907,6
100002909,11
100002911,6
100002913,4
100002914,2
100002916,5
100002920,2
100002923,3
100002927,1
100002932,8
100002935,2
100002936,2
100002937,2
100002939,2
100002941,1
100002942,1
100002943,3
100002944,5
100002946,2
100002947,1
100002950,7
100002953,1
100002954,4
100002956,4
100002959,2
100002961,1
100002962,1
100002964,3
100002967,1
100002969,3
100002972,2
100002973,1
100002975,3
100002976,7
100002977,1
100002978,1
100002979,1
100002980,3
100002983,1
100002986,3
100002987,1
100002990,1
100002992,1
100002996,2
100002997,1
100002998,3
100002999,1
100003000,4
100003001,1
100003002,1
100003007,2
100003008,1
100003009,3
100003010,1
100003011,3
100003012,1
100003014,1
100003015,3
100003016,2
100003020,17
100003021,2
100003022,18
100003024,1
100003025,2
100003027,1
100003028,1
100003030,6
100003031,1
100003033,2
100003040,1
100003043,12
100003044,32
100003045,3
100003046,2
100003047,1
100003049,2
100003050,1
100003052,1
100003053,1
100003055,1
100003056,1
100003057,1
100003059,1
100003061,1
100003064,18
100003065,1
100003066,4
100003067,6
100003069,2
100003070,1
100003074,5
100003075,1
100003077,3
100003078,4
100003082,2
100003083,11
100003089,7
100003090,5
100003096,9
100003097,36
100003099,7
100003100,4
100003101,97
100003102,9
100003103,3
100003104,6
100003105,2
100003107,2
100003108,17
100003109,3
100003111,2
100003113,13
100003114,1
100003115,1
100003116,9
100003117,4
100003118,2
100003119,9
100003120,2
100003122,5
100003124,26
100003126,2
100003127,58
100003128,1
100003132,2
100003133,2
100003134,1
100003135,7
100003137,18
100003138,1
100003139,14
100003141,5
100003142,1
100003143,116
100003145,1
100003146,5
100003147,1
100003148,23
100003149,1
100003150,12
100003151,2
100003152,4
100003155,4
100003156,17
100003157,1
100003158,3
100003159,1
100003160,2
100003161,3
100003162,5
100003164,9
100003165,6
100003166,4
100003169,1
100003170,3
100003171,1
100003172,5
100003174,1
100003175,4
100003177,1
100003178,3
100003179,3
100003181,18
100003182,5
100003183,26
100003184,13
100003185,3
100003186,1
100003187,1
100003191,9
100003192,2
100003193,3
100003194,3
100003195,3
100003196,12
100003198,6
100003201,1
100003209,3
100003210,3
100003214,5
100003215,14
100003216,4
100003220,18
100003221,10
100003223,1
100003224,1
100003228,3
100003230,3
100003233,6
100003236,3
100003238,2
100003239,2
100003242,1
100003245,3
100003246,1
100003247,5
100003250,8
100003255,2
100003257,1
100003262,5
100003263,2
100003265,17
100003266,3
100003267,2
100003268,3
100003273,1
100003277,1
100003278,2
100003279,15
100003280,7
100003281,2
100003283,2
100003285,1
100003286,38
100003289,18
100003290,6
100003291,7
100003292,1
100003293,13
100003294,16
100003295,1
100003296,3
100003297,7
100003298,17
100003299,2
100003300,4
100003301,17
100003302,1
100003303,1
100003304,5
100003305,2
100003306,8
100003307,6
100003308,13
100003309,21
100003311,2
100003313,72
100003314,12
100003316,1
100003318,3
100003319,22
100003320,9
100003321,8
100003322,24
100003325,1
100003327,2
100003328,1
100003329,9
100003330,10
100003331,5
100003332,9
100003333,1
100003334,1
100003338,1142
100003343,10
100003346,1
100003347,2
100003348,19
100003352,36
100003353,1
100003354,112
100003356,1
100003358,39
100003359,6
100003361,2
100003362,17
100003363,9
100003364,15
100003365,10
100003366,3
100003368,9
100003371,12
100003372,8
100003373,2
100003374,12
100003376,11
100003378,53
100003379,2
100003382,1
100003385,2
100003386,3
100003388,3
100003389,6
100003390,18
100003391,1
100003394,1
100003395,3
100003401,1
100003405,1
100003406,7
100003411,198
100003415,1
100003416,1
100003417,3
100003418,2
100003419,6
100003420,5
100003423,8
100003429,44
100003430,2
100003431,1
100003432,2
100003433,6
100003435,1
100003437,16
100003438,45
100003441,4
100003442,1
100003444,1
100003448,1
100003450,3
100003451,10
100003452,6
100003453,2
100003454,8
100003458,21
100003459,2
100003462,16
100003463,3
100003464,4
100003466,8
100003468,2
100003469,5
100003470,5
100003471,11
100003474,1
100003476,5
100003477,9
100003478,1
100003480,27
100003481,1
100003482,20
100003489,2
100003490,7
100003491,4
100003492,3
100003493,5
100003495,14
100003496,83
100003497,9
100003498,1
100003499,4
100003500,1
100003501,1
100003502,1
100003504,5
100003506,7
100003514,636
100003515,20
100003517,2
100003520,28
100003522,10
100003527,1
100003529,1
100003532,519
100003537,1
100003541,11
100003546,3
100003550,5
100003551,8
100003555,1
100003556,12
100003561,2
100003562,1
100003563,4
100003566,1
100003571,1
100003573,12
100003577,1
100003580,75
100003581,23
100003583,1
100003590,1
100003592,42
100003595,2
100003596,14
100003597,7
100003599,18
100003600,189
100003602,1
100003604,30
100003606,2
100003608,4
100003609,1
100003610,5
100003612,3
100003613,1
100003614,1
100003615,3
100003616,19
100003617,4
100003619,1
100003620,5
100003622,2
100003625,6
100003632,7
100003634,1
100003635,7
100003637,2
100003638,6
100003641,1
100003644,5
100003645,1
100003648,1
100003649,2
100003651,2
100003657,2
100003660,8
100003663,32
100003665,9
100003668,294
100003669,3
100003675,6
100003678,1
100003679,7
100003680,11
100003683,2
100003685,2
100003691,7
100003694,1
100003700,1
100003706,1
100003709,1
100003710,191
100003716,72
100003722,2
100003725,2
100003726,13
100003727,1
100003732,4
100003735,17
100003738,2
100003740,2
100003746,1
100003750,8
100003752,5
100003753,1
100003760,10
100003766,5
100003767,4
100003768,2
100003775,69
100003776,15
100003777,8
100003780,3
100003781,1
100003782,7
100003784,2
100003786,9
100003789,1
100003790,8
100003791,5
100003792,1
100003798,1
100003799,34
100003802,1
100003808,1
100003811,4
100003812,121
100003814,1
100003817,2
100003822,2
100003824,1
100003825,1
100003827,6
100003828,1
100003833,1
100003835,2
100003837,3
100003838,3
100003839,2
100003840,26
100003841,414
100003844,4
100003846,2
100003853,10
100003855,7
100003856,3
100003857,9
100003858,5
100003860,9
100003862,15
100003863,1
100003865,2
100003867,48
100003869,14
100003870,1
100003872,1
100003874,9
100003875,8
100003876,1
100003879,12
100003880,1
100003881,11
100003884,11
100003885,4
100003887,24
100003890,10
100003892,4
100003893,45
100003894,3
100003899,1
100003901,2
100003905,1
100003907,1
100003908,6
100003910,1
100003911,5
100003914,6
100003915,10
100003917,1
100003919,39
100003920,15
100003922,5
100003923,110
100003925,3
100003928,6
100003930,113
100003931,15
100003933,2
100003934,1
100003935,3
100003936,2
100003938,24
100003939,29
100003940,52
100003942,5
100003944,13
100003945,5
100003946,480
100003947,20
100003949,3
100003951,50
